Code_ISO,arriv,hdi,gini,gdp_cap,alphab,dens_pop,urb_pop,median_age,life_exp,p65yrs,prev_cvlds,prev_ch.resp,prev_diab,prev_malaria,prev_nutdef,pref_respdtub,alcohol_cons,med_1000,health_exp,lack_hygien,immuniz_dtp1,immuniz_bcg,pm25,hous_fossf,epi,lat_abs,ah_avg,ws2m_avg,rh2m_avg,tdew_avg,tmax_avg,tmin_avg,tmoy_avg,insol_avg,conf_pm,death_pm
NAM,1651000,0.645,59.1,4957.458222,91.52726746,3.02627716,51.0419999,22,63.373,3.608054423,101639.6255,79001.80035,74714.49392,66558.77153,335193.9966,575616.905,5.43,0.4,471.49,18.3,92,94,24.05,20.4,40.2,22.9576,7.280782985,2.820262726,39.61558292,3.791018062,28.82614122,12.62901478,20.2544335,20.35101806,50128.08024,1352.960277
NER,192000,0.377,34.3,553.8950504,35.04999924,18.39835438,16.51700087,15.1,62.024,2.596711426,664480.4083,818782.8548,255159.4774,5795517.276,6826691.243,5490973.018,0.67,0,30.36,70.8,92,70,93.18,5.4,30.8,17.607789,6.375713982,3.298784893,22.4701642,1.398604269,36.24364532,21.07528736,28.13804598,20.41569787,250.9146545,8.536846682
NGA,5265000,0.534,35.1,2229.858696,62.01601028,217.5472239,51.15699983,18.1,54.332,2.743083338,7893718.377,9107672.02,2947806.381,41121466.6,55013733.91,50303011.76,10.84,0.4,83.75,68.6,65,67,61.73,11.7,31,9.082,14.04262444,2.222167488,61.15579639,14.66195402,31.54315271,20.91689655,25.53594417,17.64929392,957.5415695,12.28580704
RWA,1634000,0.536,43.7,820.0252417,73.21559143,479.3830676,17.31300116,20.299999,68.7,3.028253062,477672.0651,1100689.026,229062.5987,1571710.846,2131057.659,3009243.026,8.95,0.1,58.31,19.3,99,98,39.7,11.8,33.8,1.9403,13.20627184,1.268949097,81.28937603,15.31269294,24.22116585,14.53034483,18.94566502,15.23085386,6939.680604,86.24410487
STP,33400.00153,0.609,56.3,1946.643614,92.81664276,224.0166667,73.59803958,18.700001,70.17,2.960159214,10501.02449,11497.17069,5444.911066,2199.57957,42396.75333,41981.11012,5.88,0.1,125.4,11.4,97,95,39,16,37.6,0.1864,20.90600731,3.575862069,82.56126437,23.45962233,27.007422,26.27955665,26.66403941,13.3170936,12127.07388,172.0482107
SEN,1376000,0.514,40.3,1446.830965,51.90042114,82.8446139,47.65299793,18.700001,67.665,3.098476445,600630.2442,499547.8728,466720.4102,366445.3275,4321327.372,3546278.627,0.76,0.1,58.9,23.9,97,99,59.78,12.3,30.7,14.4974,11.81171559,2.995845649,40.28719212,11.03119869,37.35679803,23.05453202,29.82958949,21.75978654,4467.560985,108.3063682
SYC,428000,0.801,32.1,17448.27029,95.8677063,212.2282609,57.11856594,36.200001,72.84146341,7.805481947,6731.891819,4626.375462,11040.67019,0,12797.58593,32795.27344,20.5,2.1,833.08,0.2,99,98,13.67,72.3,58.2,4.6796,21.33339256,4.552955665,80.22254516,23.86699507,27.89233169,27.20252874,27.58326765,20.83136289,205254.8015,1044.814341
SLE,71000,0.438,35.7,527.5336344,43.20632935,108.0665975,42.48399666,19.1,54.309,2.947736623,328961.363,309017.4082,111973.0055,2812585.721,2031672.939,1978840.79,5.7,0,85.78,81.3,95,86,54.28,7,25.7,8.460555,19.55714983,1.571954023,77.78533662,21.68888342,31.77489327,22.75650246,26.74586207,14.77444992,814.9014202,15.48658267
SOM,,0.285,36.8,126.9249205,37.8,24.21808644,45.55400036,16.799999,57.068,2.889203812,651940.0549,1039771.805,326994.4544,928400.0484,8016493.779,4565575.926,0.009,0,,86.6,52,37,27.67,,,5.152149,16.23782563,4.558965517,58.92853859,18.1917734,34.96231527,22.63632184,28.24405583,12.17924466,1131.004821,63.26529885
ZAF,14797000,0.705,63,6001.400814,87.04666901,48.03441091,66.8559966,27.299999,63.857,5.415255608,3179254.468,3163955.157,2808002.034,44391.53658,6094195.387,25654075.63,9.52,0.9,525.96,13.7,84,84,25.15,36.2,43.1,30.5595,6.41037705,3.154006568,41.0490312,2.034597701,26.53858785,9.958489327,17.83356322,21.11862069,47434.11989,1404.771692
SSD,,0.413,44.1,1119.651333,34.52275848,17.45069923,19.89900121,19.200001,57.604,3.376805137,352452.3449,457822.8021,160447.5905,1505656.173,2276791.278,2527072.428,,,26.79,63.3,51,52,34.75,,,6.877,16.23076276,2.1327422,62.67157635,18.24773399,33.16842365,22.69635468,27.64650246,9.063858785,1033.798877,10.84783712
SDN,836000,0.507,34.2,441.5056034,60.6971817,23.09104859,34.9360004,19.700001,65.095,3.627317326,1760095.436,2005576.772,1708376.969,1474056.296,6923881.094,8691451.358,0.51,0.3,60.17,17.3,97,92,43.8,19.7,34.8,12.8628,9.696106424,3.214236453,37.743711,7.372151067,34.46077176,19.83284072,26.65817734,22.39676519,880.7789778,66.1244076
TZA,1527000,0.528,40.5,1122.12181,77.88722992,61.23241106,34.50000046,17.700001,65.015,2.620541103,2196585.744,3810839.871,917258.2783,3667203.238,14105231.94,9849445.543,11.27,0,36.82,38.4,91,91,26.73,10.6,31.1,6.369028,14.22062645,2.302068966,76.36083744,16.24996716,27.17968801,16.2818555,21.23571429,20.89681445,23.56674577,0.861987775
TGO,876000,0.513,43.1,679.2902491,63.74562073,142.3202324,42.24800015,19.4,60.76,2.887347591,308270.3623,358585.8843,125489.2614,2075058.208,1900724.498,1855689.517,2.46,0.1,41.84,41.6,90,98,45.48,10.7,29.5,8.6195,18.09908699,1.776338259,75.85829228,20.40394089,30.72576355,21.3599179,25.61151067,15.12622332,2630.541601,22.88933711
TUN,9429000,0.739,32.8,3317.453593,79.03643036,71.47924332,69.2540026,32.700001,76.505,8.593468556,901015.4097,639005.8401,1108880.921,0,787423.3931,1993567.204,2.12,1.3,251.55,1,97,92,33.27,81.1,46.7,33.886917,9.645150341,3.30456486,50.51197044,8.62683087,28.84146141,15.1970936,21.47073892,20.88284072,56780.67169,2005.264085
UGA,1402000,0.528,42.8,794.3410779,76.52749634,183.2730035,24.36100046,16.4,62.973,1.962550187,1393956.932,2371576.034,776690.4664,14144212.71,6522207.529,15842087.91,15.09,0.2,43.14,31.6,99,88,42.75,11.3,35.6,1.373333,15.26300467,2.047077176,72.61003284,17.80763547,27.94807882,19.56505747,23.506289,8.351083744,2708.744065,68.03766938
ZMB,1266000,0.591,57.1,1305.063254,86.74796295,23.73211889,44.07199921,17.700001,63.51,2.115314738,612652.5645,601391.8768,328933.3868,2098027.33,5433025.955,3991607.954,6.54,1.2,75.99,34.9,94,95,30.79,12.5,34.7,13.133897,12.24744191,2.379458128,70.17600985,13.268867,26.74817734,14.52474548,20.15745484,20.06745484,11551.7974,201.6681009
ZWE,2294000,0.563,50.3,1463.98591,88.69342041,37.47944518,32.20999834,19.6,61.195,2.980608063,578100.0324,425653.6694,494009.8362,188089.1321,2824541.893,2402099.375,4.67,0.2,140.32,24.6,94,95,25.18,10.2,37,19.015438,10.49345036,2.59407225,60.24986864,10.28198686,27.56932677,13.337422,19.88073892,20.22788177,8519.563868,301.7315664
